arm,class,recall,recall_ci_lo,recall_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi
teacher,Benign,0.8666666666666667,0.8257394533757373,0.8991555337683786,0.807843137254902,0.7550595556723197,0.8514893361292745
teacher,Malignant,0.7354838709677419,0.6609600189976058,0.7986177294188513,0.9348837209302325,0.9074988665395193,0.9545672002136203
teacher,Normal,0.89,0.8136870349691968,0.9374580364293543,0.9608247422680413,0.9396277746243431,0.9747791193374853
student_baseline,Benign,0.8787878787878788,0.8391488801119483,0.9097095776815599,0.788235294117647,0.7340020235217746,0.8339131809039219
student_baseline,Malignant,0.6645161290322581,0.5870028931379895,0.7340719721940561,0.9232558139534883,0.894181650199348,0.9448345217208198
student_baseline,Normal,0.91,0.8377378714728368,0.9519274599974349,0.9711340206185567,0.9521347679668108,0.9827286560612777
student_kd,Benign,0.8848484848484849,0.8458938597601963,0.9149463333580081,0.7568627450980392,0.7006522705384209,0.8054490340858391
student_kd,Malignant,0.6580645161290323,0.580374109408732,0.7281095847338215,0.9302325581395349,0.90215022331408,0.9506958855058709
student_kd,Normal,0.86,0.7786281178903616,0.9147365634006087,0.9731958762886598,0.9546849319990076,0.9842697980423329
student_kd_nodenoise,Benign,0.8606060606060606,0.8190719306876216,0.8938413211317981,0.796078431372549,0.7424039658346994,0.8409647135413562
student_kd_nodenoise,Malignant,0.6709677419354839,0.5936466139682639,0.7400194225532736,0.9116279069767442,0.8810271284357348,0.9349391486514615
student_kd_nodenoise,Normal,0.88,0.8018790057328857,0.930005935629805,0.9608247422680413,0.9396277746243431,0.9747791193374853
