Device: mps
[teacher] Epoch   1 | val_loss=0.9580 | val_acc=0.5641
[teacher] Epoch   2 | val_loss=0.9303 | val_acc=0.5556
[teacher] Epoch   3 | val_loss=0.9094 | val_acc=0.5556
[teacher] Epoch   4 | val_loss=0.8922 | val_acc=0.5470
[teacher] Epoch   5 | val_loss=0.8824 | val_acc=0.5556
[teacher] Epoch   6 | val_loss=0.8763 | val_acc=0.5641
[teacher] Epoch   7 | val_loss=0.8468 | val_acc=0.5726
[teacher] Epoch   8 | val_loss=0.8376 | val_acc=0.5726
[teacher] Epoch   9 | val_loss=0.8212 | val_acc=0.6410
[teacher] Epoch  10 | val_loss=0.5204 | val_acc=0.7692
[teacher] Epoch  11 | val_loss=0.4249 | val_acc=0.8376
[teacher] Epoch  12 | val_loss=0.2775 | val_acc=0.8803
[teacher] Epoch  13 | val_loss=0.2512 | val_acc=0.9145
[teacher] Epoch  14 | val_loss=0.3296 | val_acc=0.8974
[teacher] Epoch  15 | val_loss=0.3523 | val_acc=0.8974
[teacher] Epoch  16 | val_loss=0.3195 | val_acc=0.9145
[teacher] Epoch  17 | val_loss=0.4217 | val_acc=0.8718
[teacher] Epoch  18 | val_loss=0.3503 | val_acc=0.9060
[teacher] Epoch  19 | val_loss=0.3308 | val_acc=0.9060
[teacher] Epoch  20 | val_loss=0.2954 | val_acc=0.8974
[teacher] Epoch  21 | val_loss=0.2835 | val_acc=0.9060
[teacher] Epoch  22 | val_loss=0.3082 | val_acc=0.8889
[teacher] Epoch  23 | val_loss=0.3454 | val_acc=0.9145
[teacher] Epoch  24 | val_loss=0.3216 | val_acc=0.9060
[teacher] Epoch  25 | val_loss=0.3638 | val_acc=0.8974
[teacher] Epoch  26 | val_loss=0.3217 | val_acc=0.9060
[teacher] Epoch  27 | val_loss=0.2916 | val_acc=0.9316
[teacher] Epoch  28 | val_loss=0.2734 | val_acc=0.9316
[teacher] Early stopping at epoch 28
[teacher] Epoch   1 | val_loss=0.9689 | val_acc=0.5556
[teacher] Epoch   2 | val_loss=0.9526 | val_acc=0.5556
[teacher] Epoch   3 | val_loss=0.9326 | val_acc=0.5556
[teacher] Epoch   4 | val_loss=0.9192 | val_acc=0.5556
[teacher] Epoch   5 | val_loss=0.8922 | val_acc=0.5556
[teacher] Epoch   6 | val_loss=0.8886 | val_acc=0.6325
[teacher] Epoch   7 | val_loss=0.8705 | val_acc=0.5556
[teacher] Epoch   8 | val_loss=0.8482 | val_acc=0.5812
[teacher] Epoch   9 | val_loss=0.8332 | val_acc=0.6154
[teacher] Epoch  10 | val_loss=0.4527 | val_acc=0.8291
[teacher] Epoch  11 | val_loss=0.4880 | val_acc=0.8376
[teacher] Epoch  12 | val_loss=0.3532 | val_acc=0.8376
